regiao,bairro,mediana,n
Norte,Jurerê,24157.0,210
Norte,Forte,23200.0,1
Leste,Praia Mole,23190.0,11
Leste,Canto da Lagoa,20699.0,2
Norte,Jurerê Internacional,19892.0,147
Norte,Cacupé,16816.0,138
Sul,Morro das Pedras,15000.0,83
Central,Agronômica,15000.0,171
Central,Saco Grande,14872.0,142
Norte,Praia Brava,14744.0,37
Central,João Paulo,14625.0,176
Central,Centro,14298.0,819
Sul,Campeche,13375.0,509
Central,Itacorubi,13320.0,212
Central,Monte Verde,13311.0,19
Leste,Lagoa da Conceição,13007.0,111
Sul,Açores,13000.0,29
Leste,Barra da Lagoa,12623.0,32
Central,Santa Mônica,12355.0,20
Norte,Santo Antônio de Lisboa,12081.0,63
Central,Trindade,11807.0,176
Central,Córrego Grande,11667.0,133
Central,Carvoeira,11576.0,82
Norte,Canasvieiras,11402.0,223
Central,Pantanal,11369.0,44
Sul,Rio Tavares,11361.0,104
Palhoça,Pedra Branca,11290.0,317
Continental,Abraão,11218.0,49
Norte,Cachoeira do Bom Jesus,11056.0,139
Continental,Coqueiros,10952.0,125
Continental,Itaguaçu,10870.0,25
Continental,Estreito,10854.0,183
Norte,Ratones,10853.0,10
São José,Bosque Das Mansões,10652.0,6
São José,Kobrasol,10377.0,107
Sul,Armação,10360.0,21
Sul,Pântano do Sul,10303.0,27
Central,Costeira do Pirajubaé,10156.0,7
São José,Campinas,9989.0,197
Norte,Ponta das Canas,9988.0,25
Continental,Jardim Atlântico,9909.0,118
Norte,Daniela,9907.0,24
Central,Saco dos Limões,9871.0,46
Norte,Sambaqui,9845.0,26
Sul,Alto Ribeirão,9816.0,4
Sul,Ribeirão da Ilha,9686.0,82
São José,Ponta de Baixo,9576.0,6
Continental,Bom Abrigo,9533.0,28
Continental,Balneário,9525.0,78
Norte,Vargem Pequena,9445.0,12
Norte,Ingleses,9290.0,151
Palhoça,Linha Pinheiral,9244.0,1
Norte,Santinho,9146.0,13
São José,Floresta,8982.0,5
Central,José Mendes,8912.0,4
São José,Barreiros,8538.0,159
Continental,Canto,8505.0,47
Biguaçu,Centro,8456.0,24
Palhoça,Praia Do Sonho,8428.0,2
Palhoça,Pagani,8393.0,78
São José,Praia Comprida,8372.0,35
Palhoça,Ponta Do Papagaio,8333.0,1
Norte,Vargem do Bom Jesus,8226.0,32
Palhoça,Sertão do Imaruim,8209.0,3
São José,Sertãozinho,8182.0,1
Palhoça,Passa Vinte,8143.0,25
São José,Bosque das Mansões,8125.0,7
Continental,Coloninha,8066.0,7
Sul,Carianos,8065.0,41
Norte,Vargem Grande,7814.0,22
Palhoça,Praia do Sonho,7683.0,23
São José,Centro,7563.0,22
São José,Nossa Senhora do Rosário,7486.0,36
Continental,Capoeiras,7411.0,97
São José,Jardim Botânico,7260.0,1
Palhoça,Pinheira,7250.0,35
São José,Roçado,7246.0,21
São José,Jardim Cidade,7109.0,24
São José,Fazenda Santo Antônio,7092.0,12
São José,Areias,7078.0,74
Biguaçu,Rio Caveiras,6905.0,26
Palhoça,Ponte Do Imaruim,6694.0,32
Biguaçu,Beira Rio,6599.0,53
Leste,Rio Vermelho,6549.0,568
São José,Flor De Nápolis,6538.0,3
Palhoça,Praia De Fora,6420.0,45
São José,Forquilhinhas,6419.0,16
São José,Potecas,6383.0,58
São José,Forquilhas,6324.0,146
Palhoça,Centro,6306.0,77
São José,Ipiranga,6291.0,38
São José,Parque Primavera,6167.0,1
São José,Jardim Marajoara,6167.0,1
Palhoça,Madri,6000.0,7
Biguaçu,Morro Da Bina,5977.0,1
São José,Flor de Nápolis,5950.0,4
Palhoça,São Sebastião,5893.0,41
Palhoça,Bela Vista,5791.0,107
Palhoça,Vale Verde,5789.0,1
Palhoça,Enseada de Brito,5778.0,2
São José,Serraria,5759.0,76
Biguaçu,Jardim Janaína,5755.0,14
São José,Sertão do Maruim,5754.0,70
Biguaçu,Cachoeiras (Guaporanga),5612.0,1
Biguaçu,Universitário,5610.0,2
Biguaçu,Deltaville,5593.0,1
Palhoça,Guarda do Cubatão,5556.0,25
São José,Picadas do Sul,5532.0,3
Palhoça,Barra do Aririú,5525.0,43
Palhoça,Jardim Eldorado,5503.0,15
Sul,Tapera da Base,5500.0,21
Palhoça,Alto Aririú,5448.0,9
Sul,Ressacada,5392.0,1
Palhoça,Aririú,5370.0,33
Biguaçu,Tijuquinhas,5338.0,6
São José,Ponta De Baixo,5312.0,7
Biguaçu,Praia João Rosa,5282.0,14
Biguaçu,Fundos,5235.0,16
Palhoça,Praia do Meio,5194.0,8
São José,Bela Vista,5143.0,5
Palhoça,Rio Grande,5040.0,9
Biguaçu,Areias De Cima (Guaporanga),4929.0,1
Biguaçu,Bom Viver,4825.0,15
Biguaçu,Vendaval,4769.0,3
Continental,Monte Cristo,4762.0,1
São José,Real Parque,4656.0,26
Palhoça,Pachecos,4519.0,5
Biguaçu,Saudade,4493.0,2
Biguaçu,Boa Vista,4479.0,5
Biguaçu,São Miguel (Guaporanga),4412.0,1
Biguaçu,Área Rural de Biguaçu,4125.0,8
Palhoça,Brejaru,4074.0,1
Biguaçu,Prado De Baixo,4016.0,1
Palhoça,Enseada,3948.0,2
Palhoça,Massiambu,3685.0,10
Palhoça,Caminho Novo,3413.0,7
Biguaçu,Fazenda De Dentro,3150.0,1
Biguaçu,Mar Das Pedras,2576.0,1
São José,São Luís,2242.0,1
Biguaçu,Encruzilhada,1367.0,1
