feature,shap_mean_abs,shap_mean_abs_pct
log_tamanho_m2,0.34,30.2732
banheiros,0.1232,10.9699
tipo_Casa,0.0924,8.2307
vagas,0.0844,7.5191
regiao_Central,0.0794,7.0697
regiao_Norte,0.0784,6.9821
piscina,0.0773,6.8832
regiao_Sul,0.0589,5.248
quartos,0.0422,3.7616
elevador,0.0398,3.5441
regiao_Sao_Jose,0.0285,2.5335
sacada,0.0198,1.7672
regiao_Palhoca,0.0176,1.5709
salao_de_festas,0.0174,1.5452
churrasqueira,0.0091,0.8113
regiao_Continental,0.007,0.6254
regiao_Leste,0.0045,0.4006
academia,0.003,0.264
