,coef,std_err,p_valor,IC_2.5%,IC_97.5%,sig
Intercept,9.7961,0.051,0.0,9.6962,9.8961,***
regiao_Central[T.True],0.6431,0.0291,0.0,0.5861,0.7,***
regiao_Continental[T.True],0.3921,0.0308,0.0,0.3317,0.4524,***
regiao_Leste[T.True],0.3571,0.0308,0.0,0.2967,0.4175,***
regiao_Norte[T.True],0.7475,0.0296,0.0,0.6894,0.8056,***
regiao_Palhoca[T.True],0.2228,0.0299,0.0,0.1642,0.2814,***
regiao_Sul[T.True],0.7189,0.0301,0.0,0.6598,0.7779,***
regiao_Sao_Jose[T.True],0.1994,0.0295,0.0,0.1415,0.2572,***
tipo_Casa[T.True],-0.1905,0.0141,0.0,-0.2182,-0.1629,***
log_tamanho_m2,0.6803,0.0119,0.0,0.657,0.7036,***
quartos,-0.0296,0.0062,0.0,-0.0418,-0.0175,***
banheiros,0.1303,0.0048,0.0,0.1209,0.1397,***
vagas,0.0625,0.0045,0.0,0.0538,0.0713,***
piscina,0.1826,0.0097,0.0,0.1635,0.2017,***
sacada,0.0489,0.0099,0.0,0.0295,0.0682,***
churrasqueira,0.0291,0.0103,0.0046,0.009,0.0493,**
imovel_mobiliado,0.0184,0.0096,0.0541,-0.0003,0.0371,ns
elevador,0.1234,0.0127,0.0,0.0986,0.1483,***
academia,0.0299,0.0144,0.0373,0.0018,0.0581,*
salao_de_festas,0.0435,0.0117,0.0002,0.0207,0.0664,***
